What,Value,Property,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,Cut,Polish,Sym,Shape
HO,HO,OHT,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,EX,,,RO
HO,HO,OHC,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,EX,,,RO
HO,HO,OHG,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,EX,,,RO
HO,HO,OHP,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,0.0,0.0,0.0,EX,,,RO
Open,Small,OT1,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,EX,,,RO
Open,Small,OC1,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,EX,,,RO
Open,Small,OG1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,EX,,,RO
Open,Small,OP1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-0.5,-0.5,0.0,EX,,,RO
Open,Medium,OT2,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,EX,,,RO
Open,Medium,OC2,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-4.0,-4.0,-3.0,EX,,,RO
Open,Medium,OG2,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,EX,,,RO
Open,Medium,OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-2.5,-2.5,-1.5,EX,,,RO
Open,Big,OT3,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,EX,,,RO
Open,Big,OC3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-7.0,-7.0,-6.0,EX,,,RO
Open,Big,OG3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-6.0,-6.0,-5.0,EX,,,RO
Open,Big,OP3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-5.0,-5.0,-4.0,EX,,,RO
Natural,Indented Natural,INT,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,EX,,,RO
Natural,Indented Natural,INC,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,EX,,,RO
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,EX,,,RO
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,EX,,,RO
Natural,Natural,NC1,-1.5,-1.5,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,EX,,,RO
Natural,Natural,NC2,-2.0,-2.0,-1.5,-1.5,-1.5,-0.5,-1.0,-1.0,-0.5,EX,,,RO
Natural,Natural,NC3,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,EX,,,RO
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,EX,,,RO
Natural,Natural,NP2,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,EX,,,RO
Natural,Natural,NP3,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.0,EX,,,RO
Others,Extra Facet,EFT,-1.0,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,EX,,,RO
Others,Extra Facet,EFC,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,EX,,,RO
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EX,,,RO
Others,Extra Facet,EFP,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,EX,,,RO
Others,Cavity,CTT,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,EX,,,RO
Others,Cavity,CTC,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,EX,,,RO
Others,Cavity,CTG,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,EX,,,RO
Others,Cavity,CTP,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,EX,,,RO
Others,Chip,CHT,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,0.0,EX,,,RO
Others,Chip,CHC,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,EX,,,RO
Others,Chip,CHG,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,EX,,,RO
Others,Chip,CHP,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,EX,,,RO
HO,HO,OHT,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,VG,,,RO
HO,HO,OHC,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,VG,,,RO
HO,HO,OHG,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,VG,,,RO
HO,HO,OHP,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,VG,,,RO
Open,Small,OT1,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,VG,,,RO
Open,Small,OC1,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,VG,,,RO
Open,Small,OG1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,VG,,,RO
Open,Small,OP1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,VG,,,RO
Open,Medium,OT2,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,VG,,,RO
Open,Medium,OC2,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,VG,,,RO
Open,Medium,OG2,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,VG,,,RO
Open,Medium,OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,VG,,,RO
Open,Big,OT3,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,VG,,,RO
Open,Big,OC3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,VG,,,RO
Open,Big,OG3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,VG,,,RO
Open,Big,OP3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,VG,,,RO
Natural,Indented Natural,INT,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,VG,,,RO
Natural,Indented Natural,INC,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,VG,,,RO
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,VG,,,RO
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,VG,,,RO
Natural,Natural,NC1,-1.5,-1.5,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,VG,,,RO
Natural,Natural,NC2,-2.0,-2.0,-1.5,-1.5,-1.5,-0.5,-1.0,-1.0,-0.5,VG,,,RO
Natural,Natural,NC3,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,VG,,,RO
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,VG,,,RO
Natural,Natural,NP2,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,VG,,,RO
Natural,Natural,NP3,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.0,VG,,,RO
Others,Extra Facet,EFT,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Extra Facet,EFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Extra Facet,EFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Cavity,CTT,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,VG,,,RO
Others,Cavity,CTC,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,VG,,,RO
Others,Cavity,CTG,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,VG,,,RO
Others,Cavity,CTP,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,VG,,,RO
Others,Chip,CHT,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,0.0,VG,,,RO
Others,Chip,CHC,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,VG,,,RO
Others,Chip,CHG,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,VG,,,RO
Others,Chip,CHP,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,VG,,,RO
HO,HO,OHT,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,G,,,RO
HO,HO,OHC,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,G,,,RO
HO,HO,OHG,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
HO,HO,OHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Open,Small,OT1,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,G,,,RO
Open,Small,OC1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,G,,,RO
Open,Small,OG1,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,G,,,RO
Open,Small,OP1,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,G,,,RO
Open,Medium,OT2,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-3.5,-3.5,-2.5,G,,,RO
Open,Medium,OC2,-4.0,-4.0,-3.5,-4.0,-4.0,-3.5,-2.5,-2.5,-2.0,G,,,RO
Open,Medium,OG2,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.0,-2.0,-1.5,G,,,RO
Open,Medium,OP2,-2.5,-2.5,-2.0,-2.5,-2.5,-2.0,-1.5,-1.5,-1.0,G,,,RO
Open,Big,OT3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-7.0,-7.0,-6.0,G,,,RO
Open,Big,OC3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-6.0,-6.0,-5.0,G,,,RO
Open,Big,OG3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-5.0,-5.0,-4.0,G,,,RO
Open,Big,OP3,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-4.0,-4.0,-3.0,G,,,RO
Natural,Indented Natural,INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Natural,Indented Natural,INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Natural,Indented Natural,ING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Natural,Indented Natural,INP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Natural,Natural,NC1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,G,,,RO
Natural,Natural,NC2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,G,,,RO
Natural,Natural,NC3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.0,G,,,RO
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,G,,,RO
Natural,Natural,NP2,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,G,,,RO
Natural,Natural,NP3,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,G,,,RO
Others,Extra Facet,EFT,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Others,Extra Facet,EFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Others,Extra Facet,EFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,,,RO
Others,Cavity,CTT,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-2.5,-2.5,-1.5,G,,,RO
Others,Cavity,CTC,-1.5,-1.5,-0.5,-1.5,-1.5,-0.5,-0.5,-0.5,-0.5,G,,,RO
Others,Cavity,CTG,-2.5,-2.5,-1.5,-2.5,-2.5,-1.5,-1.5,-1.5,-0.5,G,,,RO
Others,Cavity,CTP,-1.5,-1.5,-0.5,-1.5,-1.5,-0.5,-0.5,-0.5,-0.5,G,,,RO
Others,Chip,CHT,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,G,,,RO
Others,Chip,CHC,-0.5,-0.5,0.0,-0.5,-0.5,0.0,-1.0,-1.0,0.0,G,,,RO
Others,Chip,CHG,-0.5,-0.5,0.0,-0.5,-0.5,0.0,-0.5,-0.5,0.0,G,,,RO
Others,Chip,CHP,-0.5,-0.5,0.0,-0.5,-0.5,0.0,-0.5,-0.5,0.0,G,,,RO
HO,HO,OHT,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,EX,EX,EX,Fancy
HO,HO,OHC,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,EX,EX,EX,Fancy
HO,HO,OHG,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,EX,EX,EX,Fancy
HO,HO,OHP,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,EX,EX,EX,Fancy
Open,Small,OT1,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,EX,EX,EX,Fancy
Open,Small,OC1,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,EX,EX,EX,Fancy
Open,Small,OG1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,EX,EX,EX,Fancy
Open,Small,OP1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,EX,EX,EX,Fancy
Open,Medium,OT2,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,EX,EX,EX,Fancy
Open,Medium,OC2,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,EX,EX,EX,Fancy
Open,Medium,OG2,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,EX,EX,EX,Fancy
Open,Medium,OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,EX,EX,EX,Fancy
Open,Big,OT3,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,EX,EX,EX,Fancy
Open,Big,OC3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,EX,EX,EX,Fancy
Open,Big,OG3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,EX,EX,EX,Fancy
Open,Big,OP3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,EX,EX,EX,Fancy
Natural,Indented Natural,INT,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Natural,Indented Natural,INC,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,EX,EX,EX,Fancy
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,EX,EX,EX,Fancy
Natural,Natural,NC1,-1.5,-1.5,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,EX,EX,EX,Fancy
Natural,Natural,NC2,-2.0,-2.0,-1.5,-1.5,-1.5,-0.5,-1.0,-1.0,-0.5,EX,EX,EX,Fancy
Natural,Natural,NC3,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,EX,EX,EX,Fancy
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Natural,Natural,NP2,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,EX,EX,EX,Fancy
Natural,Natural,NP3,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.0,EX,EX,EX,Fancy
Others,Extra Facet,EFT,-1.0,-1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Others,Extra Facet,EFC,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Others,Extra Facet,EFP,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Others,Cavity,CTT,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,EX,EX,EX,Fancy
Others,Cavity,CTC,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,EX,EX,EX,Fancy
Others,Cavity,CTG,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,EX,EX,EX,Fancy
Others,Cavity,CTP,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,EX,EX,EX,Fancy
Others,Chip,CHT,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,0.0,EX,EX,EX,Fancy
Others,Chip,CHC,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,EX,EX,EX,Fancy
Others,Chip,CHG,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,EX,EX,EX,Fancy
Others,Chip,CHP,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,EX,EX,EX,Fancy
HO,HO,OHT,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,,VG,VG,Fancy
HO,HO,OHC,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,,VG,VG,Fancy
HO,HO,OHG,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,,VG,VG,Fancy
HO,HO,OHP,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,,VG,VG,Fancy
Open,Small,OT1,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,,VG,VG,Fancy
Open,Small,OC1,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,,VG,VG,Fancy
Open,Small,OG1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,,VG,VG,Fancy
Open,Small,OP1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,,VG,VG,Fancy
Open,Medium,OT2,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,,VG,VG,Fancy
Open,Medium,OC2,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,,VG,VG,Fancy
Open,Medium,OG2,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,,VG,VG,Fancy
Open,Medium,OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,,VG,VG,Fancy
Open,Big,OT3,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,,VG,VG,Fancy
Open,Big,OC3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,,VG,VG,Fancy
Open,Big,OG3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,,VG,VG,Fancy
Open,Big,OP3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,,VG,VG,Fancy
Natural,Indented Natural,INT,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,,VG,VG,Fancy
Natural,Indented Natural,INC,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,,VG,VG,Fancy
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,,VG,VG,Fancy
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,,VG,VG,Fancy
Natural,Natural,NC1,-1.5,-1.5,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,,VG,VG,Fancy
Natural,Natural,NC2,-2.0,-2.0,-1.5,-1.5,-1.5,-0.5,-1.0,-1.0,-0.5,,VG,VG,Fancy
Natural,Natural,NC3,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,,VG,VG,Fancy
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,,VG,VG,Fancy
Natural,Natural,NP2,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,,VG,VG,Fancy
Natural,Natural,NP3,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.0,,VG,VG,Fancy
Others,Extra Facet,EFT,-1.0,-1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,,VG,VG,Fancy
Others,Extra Facet,EFC,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,,VG,VG,Fancy
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VG,VG,Fancy
Others,Extra Facet,EFP,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,,VG,VG,Fancy
Others,Cavity,CTT,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,,VG,VG,Fancy
Others,Cavity,CTC,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,,VG,VG,Fancy
Others,Cavity,CTG,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,,VG,VG,Fancy
Others,Cavity,CTP,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,,VG,VG,Fancy
Others,Chip,CHT,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,0.0,,VG,VG,Fancy
Others,Chip,CHC,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,,VG,VG,Fancy
Others,Chip,CHG,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,,VG,VG,Fancy
Others,Chip,CHP,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,,VG,VG,Fancy
HO,HO,OHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Dossiers
HO,HO,OHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Dossiers
HO,HO,OHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Dossiers
HO,HO,OHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Dossiers
Open,Small,OT1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,,,,Dossiers
Open,Small,OC1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,,,,Dossiers
Open,Small,OP1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,,,,Dossiers
Open,Medium,OT2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,Dossiers
Open,Medium,OC2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-7.0,-7.0,,,,Dossiers
Open,Medium,OP2,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-5.0,-5.0,,,,Dossiers
Open,Big,OT3,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,,,,Dossiers
Open,Big,OC3,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,,,,Dossiers
Open,Big,OP3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,,Dossiers
Natural,Indented Natural,INT,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,,,,Dossiers
Natural,Indented Natural,INC,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,,,Dossiers
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Dossiers
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,,,Dossiers
Natural,Natural,NC1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,,,Dossiers
Natural,Natural,NP1,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,,,,Dossiers
