,Clarity,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Size,Shape
1215,I,-14,-13,-12,-12,-10,-12,-12,2.70-2.799,OVAL
1216,J,-13,-12,-14,-12,-11,-12,-14,2.70-2.799,OVAL
1217,K,-18,-16,-16,-15,-21,-21,-19,2.70-2.799,OVAL
1218,L,-15,-15,-16,-19,-17,-18,-21,2.70-2.799,OVAL
1219,M,,,,,,,,2.70-2.799,OVAL
1220,D,-29,-28,-29,-32,-32,-29,-29,2.70-2.799,PRINCESS
1221,E,-29,-33,-31,-33,-33,-29,-30,2.70-2.799,PRINCESS
1222,F,-29,-28,-29,-31,-33,-32,-29,2.70-2.799,PRINCESS
1223,G,-29,-30,-32,-32,-31,-28,-29,2.70-2.799,PRINCESS
1224,H,-28,-25,-26,-26,-24,-23,-26,2.70-2.799,PRINCESS
1225,I,-25,-23,-22,-24,-22,-26,-24,2.70-2.799,PRINCESS
1226,J,-23,-27,-26,-25,-24,-24,-25,2.70-2.799,PRINCESS
1227,K,-22,-20,-21,-21,-22,-23,-21,2.70-2.799,PRINCESS
1228,L,-18,-18,-19,-18,-19,-20,-20,2.70-2.799,PRINCESS
1229,M,,,,,,,,2.70-2.799,PRINCESS
1230,D,-32,-32,-33,-30,-32,-31,-30,2.70-2.799,CUSHION
1231,E,-29,-32,-30,-30,-31,-32,-31,2.70-2.799,CUSHION
1232,F,-29,-29,-29,-28,-31,-29,-30,2.70-2.799,CUSHION
1233,G,-29,-30,-29,-30,-30,-29,-31,2.70-2.799,CUSHION
1234,H,-30,-30,-29,-29,-27,-29,-29,2.70-2.799,CUSHION
1235,I,-26,-26,-27,-27,-27,-28,-29,2.70-2.799,CUSHION
1236,J,-26,-27,-29,-28,-27,-27,-29,2.70-2.799,CUSHION
1237,K,-26,-25,-25,-28,-28,-30,-28,2.70-2.799,CUSHION
1238,L,-28,-29,-28,-28,-27,-29,-30,2.70-2.799,CUSHION
1239,M,,,,,,,,2.70-2.799,CUSHION
1240,D,,,-17,-15,-11,-12,-11,2.70-2.799,MARQUISE
1241,E,,,-13,-17,-18,-14,-12,2.70-2.799,MARQUISE
1242,F,,,-15,-16,-15,-14,-14,2.70-2.799,MARQUISE
1243,G,,-16,-15,-15,-13,-12,-12,2.70-2.799,MARQUISE
1244,H,,-11,-9,-8,-9,-9,-14,2.70-2.799,MARQUISE
1245,I,,-11,-11,-10,-9,-12,-11,2.70-2.799,MARQUISE
1246,J,,-12,-11,-12,-11,-11,-10,2.70-2.799,MARQUISE
1247,K,,-13,-12,-12,-12,-10,-10,2.70-2.799,MARQUISE
1248,L,,-11,-9,-9,-8,-8,-10,2.70-2.799,MARQUISE
1249,M,,,,,,,,2.70-2.799,MARQUISE
1250,D,-23,-23,-22,-24,-28,-27,-28,2.70-2.799,EMERALD
1251,E,-26,-22,-24,-28,-27,-26,-27,2.70-2.799,EMERALD
1252,F,-24,-24,-27,-26,-26,-26,-27,2.70-2.799,EMERALD
1253,G,-22,-28,-28,-27,-28,-22,-25,2.70-2.799,EMERALD
1254,H,-20,-22,-24,-24,-23,-21,-22,2.70-2.799,EMERALD
1255,I,-19,-21,-20,-19,-18,-22,-23,2.70-2.799,EMERALD
1256,J,-19,-19,-20,-22,-21,-22,-21,2.70-2.799,EMERALD
1257,K,-18,-19,-22,-22,-25,-24,-23,2.70-2.799,EMERALD
1258,L,-13,-15,-19,-18,-21,-22,-20,2.70-2.799,EMERALD
1259,M,,,,,,,,2.70-2.799,EMERALD
1260,D,-15,-10,-9,-10,-15,-18,-18,2.80-2.999,PEAR
1261,E,-17,-15,-13,-10,-14,-15,-15,2.80-2.999,PEAR
1262,F,-16,-12,-11,-9,-13,-15,-17,2.80-2.999,PEAR
1263,G,-10,-10,-8,-7,-9,-11,-15,2.80-2.999,PEAR
1264,H,-7,-7,-7,-6,-5,-8,-11,2.80-2.999,PEAR
1265,I,-5,-8,-5,-4,-3,-10,-12,2.80-2.999,PEAR
1266,J,-5,-4,-3,-3,-1,-7,-11,2.80-2.999,PEAR
1267,K,-6,-6,-5,-5,-6,-5,-7,2.80-2.999,PEAR
1268,L,-6,-6,-4,-3,-4,-4,-9,2.80-2.999,PEAR
1269,M,,,,,,,,2.80-2.999,PEAR
1270,D,-18,-17,-17,-13,-13,-16,-15,2.80-2.999,OVAL
1271,E,-13,-17,-15,-12,-12,-13,-16,2.80-2.999,OVAL
1272,F,-12,-11,-11,-11,-13,-13,-15,2.80-2.999,OVAL
1273,G,-9,-8,-8,-9,-9,-13,-17,2.80-2.999,OVAL
1274,H,-10,-7,-7,-7,-6,-12,-13,2.80-2.999,OVAL
1275,I,-10,-9,-8,-8,-6,-8,-8,2.80-2.999,OVAL
1276,J,-9,-8,-10,-8,-7,-8,-10,2.80-2.999,OVAL
1277,K,-14,-12,-12,-11,-17,-17,-15,2.80-2.999,OVAL
1278,L,-11,-11,-12,-15,-13,-14,-17,2.80-2.999,OVAL
1279,M,,,,,,,,2.80-2.999,OVAL
1280,D,-25,-24,-25,-28,-28,-25,-25,2.80-2.999,PRINCESS
1281,E,-25,-29,-27,-29,-29,-25,-26,2.80-2.999,PRINCESS
1282,F,-25,-24,-25,-27,-29,-28,-25,2.80-2.999,PRINCESS
1283,G,-25,-26,-28,-28,-27,-24,-25,2.80-2.999,PRINCESS
1284,H,-24,-21,-22,-22,-20,-19,-22,2.80-2.999,PRINCESS
1285,I,-21,-19,-18,-20,-18,-22,-20,2.80-2.999,PRINCESS
1286,J,-19,-23,-22,-21,-20,-20,-21,2.80-2.999,PRINCESS
1287,K,-18,-16,-17,-17,-18,-19,-17,2.80-2.999,PRINCESS
1288,L,-14,-14,-15,-14,-15,-16,-16,2.80-2.999,PRINCESS
1289,M,,,,,,,,2.80-2.999,PRINCESS
1290,D,-28,-28,-29,-26,-28,-27,-26,2.80-2.999,CUSHION
1291,E,-25,-28,-26,-26,-27,-28,-27,2.80-2.999,CUSHION
1292,F,-25,-25,-25,-24,-27,-25,-26,2.80-2.999,CUSHION
1293,G,-25,-26,-25,-26,-26,-25,-27,2.80-2.999,CUSHION
1294,H,-26,-26,-25,-25,-23,-25,-25,2.80-2.999,CUSHION
1295,I,-22,-22,-23,-23,-23,-24,-25,2.80-2.999,CUSHION
1296,J,-22,-23,-25,-24,-23,-23,-25,2.80-2.999,CUSHION
1297,K,-22,-21,-21,-24,-24,-26,-24,2.80-2.999,CUSHION
1298,L,-24,-25,-24,-24,-23,-25,-26,2.80-2.999,CUSHION
1299,M,,,,,,,,2.80-2.999,CUSHION
1300,D,,,-13,-11,-7,-8,-7,2.80-2.999,MARQUISE
1301,E,,,-9,-13,-14,-10,-8,2.80-2.999,MARQUISE
1302,F,,,-11,-12,-11,-10,-10,2.80-2.999,MARQUISE
1303,G,,-12,-11,-11,-9,-8,-8,2.80-2.999,MARQUISE
1304,H,,-7,-5,-4,-5,-5,-10,2.80-2.999,MARQUISE
1305,I,,-7,-7,-6,-5,-8,-7,2.80-2.999,MARQUISE
1306,J,,-8,-7,-8,-7,-7,-6,2.80-2.999,MARQUISE
1307,K,,-9,-8,-8,-8,-6,-6,2.80-2.999,MARQUISE
1308,L,,-7,-5,-5,-4,-4,-6,2.80-2.999,MARQUISE
1309,M,,,,,,,,2.80-2.999,MARQUISE
1310,D,-19,-19,-18,-20,-24,-23,-24,2.80-2.999,EMERALD
1311,E,-22,-18,-20,-24,-23,-22,-23,2.80-2.999,EMERALD
1312,F,-20,-20,-23,-22,-22,-22,-23,2.80-2.999,EMERALD
1313,G,-18,-24,-24,-23,-24,-18,-21,2.80-2.999,EMERALD
1314,H,-16,-18,-20,-20,-19,-17,-18,2.80-2.999,EMERALD
1315,I,-15,-17,-16,-15,-14,-18,-19,2.80-2.999,EMERALD
1316,J,-15,-15,-16,-18,-17,-18,-17,2.80-2.999,EMERALD
1317,K,-14,-15,-18,-18,-21,-20,-19,2.80-2.999,EMERALD
1318,L,-9,-11,-15,-14,-17,-18,-16,2.80-2.999,EMERALD
1319,M,,,,,,,,2.80-2.999,EMERALD
1320,D,-35,-30,-30,-30,-30,-28,-29,3.01-3.09,PEAR
1321,E,,-29,-29,-35,-31,-29,-29,3.01-3.09,PEAR
1322,F,,-27,-27,-25,-25,-28,-29,3.01-3.09,PEAR
1323,G,,-30,-29,-26,-25,-28,-28,3.01-3.09,PEAR
1324,H,,-30,-30,-25,-25,-28,-28,3.01-3.09,PEAR
1325,I,,-31,-31,-28,-27,-30,-31,3.01-3.09,PEAR
1326,J,,-32,-32,-30,-30,-28,-27,3.01-3.09,PEAR
1327,K,,-32,-32,-30,-30,-28,-27,3.01-3.09,PEAR
1328,L,,,,,,,,3.01-3.09,PEAR
1329,M,,,,,,,,3.01-3.09,PEAR
1330,D,-35,-32,-32,-30,-30,-28,-29,3.01-3.09,OVAL
1331,E,,-32,-32,-35,-31,-29,-29,3.01-3.09,OVAL
1332,F,,-32,-32,-25,-25,-28,-29,3.01-3.09,OVAL
1333,G,,-30,-29,-26,-25,-28,-28,3.01-3.09,OVAL
1334,H,,-30,-30,-25,-25,-28,-28,3.01-3.09,OVAL
1335,I,,-31,-31,-28,-27,-30,-31,3.01-3.09,OVAL
1336,J,,-32,-32,-30,-30,-28,-27,3.01-3.09,OVAL
1337,K,,-32,-32,-30,-30,-28,-27,3.01-3.09,OVAL
1338,L,,,,,,,,3.01-3.09,OVAL
1339,M,,,,,,,,3.01-3.09,OVAL
1340,D,-52,-48,-47,-44,-43,-46,-45,3.01-3.09,PRINCESS
1341,E,,-48,-47,-44,-43,-46,-45,3.01-3.09,PRINCESS
1342,F,,-47,-47,-44,-43,-46,-45,3.01-3.09,PRINCESS
1343,G,,-45,-45,-43,-43,-46,-45,3.01-3.09,PRINCESS
1344,H,,-45,-45,-43,-43,-46,-45,3.01-3.09,PRINCESS
1345,I,,-45,-45,-43,-43,-46,-45,3.01-3.09,PRINCESS
1346,J,,,,,,,,3.01-3.09,PRINCESS
1347,K,,,,,,,,3.01-3.09,PRINCESS
1348,L,,,,,,,,3.01-3.09,PRINCESS
1349,M,,,,,,,,3.01-3.09,PRINCESS
1350,D,-52,-48,-47,-44,-43,-46,-45,3.01-3.09,CUSHION
1351,E,,-48,-47,-44,-43,-46,-45,3.01-3.09,CUSHION
1352,F,,-47,-47,-44,-43,-46,-45,3.01-3.09,CUSHION
1353,G,,-45,-45,-43,-43,-46,-45,3.01-3.09,CUSHION
1354,H,,-45,-45,-43,-43,-46,-45,3.01-3.09,CUSHION
1355,I,,-45,-45,-43,-43,-46,-45,3.01-3.09,CUSHION
1356,J,,,,,,,,3.01-3.09,CUSHION
1357,K,,,,,,,,3.01-3.09,CUSHION
1358,L,,,,,,,,3.01-3.09,CUSHION
1359,M,,,,,,,,3.01-3.09,CUSHION
1360,D,-38,-36,-34,-33,-31,-28,-29,3.01-3.09,MARQUISE
1361,E,,-38,-37,-35,-31,-29,-29,3.01-3.09,MARQUISE
1362,F,,-37,-35,-34,-32,-30,-32,3.01-3.09,MARQUISE
1363,G,,-37,-35,-33,-33,-28,-28,3.01-3.09,MARQUISE
1364,H,,-36,-36,-32,-31,-30,-32,3.01-3.09,MARQUISE
1365,I,,-36,-36,-32,-31,-30,-31,3.01-3.09,MARQUISE
1366,J,,,,,,,,3.01-3.09,MARQUISE
1367,K,,,,,,,,3.01-3.09,MARQUISE
1368,L,,,,,,,,3.01-3.09,MARQUISE
1369,M,,,,,,,,3.01-3.09,MARQUISE
1370,D,-43,-44,-40,-38,-35,-38,-38,3.01-3.09,EMERALD
1371,E,,-45,-40,-38,-37,-42,-46,3.01-3.09,EMERALD
1372,F,,-37,-37,-37,-35,-42,-46,3.01-3.09,EMERALD
1373,G,,-37,-37,-37,-35,-40,-44,3.01-3.09,EMERALD
1374,H,,-38,-37,-35,-35,-40,-45,3.01-3.09,EMERALD
1375,I,,-38,-37,-36,-36,-39,-45,3.01-3.09,EMERALD
1376,J,,,,,,,,3.01-3.09,EMERALD
1377,K,,,,,,,,3.01-3.09,EMERALD
1378,L,,,,,,,,3.01-3.09,EMERALD
1379,M,,,,,,,,3.01-3.09,EMERALD
1380,D,-38,-36,-34,-33,-31,-28,-29,3.01-3.09,LONG RADIANT
1381,E,,-38,-37,-35,-31,-29,-29,3.01-3.09,LONG RADIANT
1382,F,,-37,-35,-34,-32,-30,-32,3.01-3.09,LONG RADIANT
1383,G,,-37,-35,-33,-33,-28,-28,3.01-3.09,LONG RADIANT
1384,H,,-36,-36,-32,-31,-30,-32,3.01-3.09,LONG RADIANT
1385,I,,-36,-36,-32,-31,-30,-31,3.01-3.09,LONG RADIANT
1386,J,,-32,-32,-30,-30,-28,-27,3.01-3.09,LONG RADIANT
1387,K,,-32,-32,-30,-30,-28,-27,3.01-3.09,LONG RADIANT
1388,L,,,,,,,,3.01-3.09,LONG RADIANT
1389,M,,,,,,,,3.01-3.09,LONG RADIANT
1390,D,-39,-38,-36,-34,-34,-32,-33,4.01-4.09,PEAR
1391,E,,-36,-35,-32,-32,-33,-33,4.01-4.09,PEAR
1392,F,,-34,-34,-29,-29,-32,-33,4.01-4.09,PEAR
1393,G,,-34,-34,-30,-29,-32,-32,4.01-4.09,PEAR
1394,H,,-34,-34,-29,-29,-32,-32,4.01-4.09,PEAR
1395,I,,-35,-35,-32,-31,-34,-35,4.01-4.09,PEAR
1396,J,,-36,-36,-34,-34,-32,-31,4.01-4.09,PEAR
1397,K,,-36,-36,-34,-34,-32,-31,4.01-4.09,PEAR
1398,L,,,,,,,,4.01-4.09,PEAR
1399,M,,,,,,,,4.01-4.09,PEAR
1400,D,-38,-38,-36,-35,-33,-33,-33,4.01-4.09,OVAL
1401,E,,-40,-39,-37,-35,-35,-33,4.01-4.09,OVAL
1402,F,,-40,-38,-37,-35,-33,-34,4.01-4.09,OVAL
1403,G,,-40,-37,-36,-36,-34,-34,4.01-4.09,OVAL
1404,H,,-39,-37,-36,-34,-33,-32,4.01-4.09,OVAL
1405,I,,-39,-37,-36,-34,-31,-31,4.01-4.09,OVAL
1406,J,,-35,-35,-33,-33,-30,-28,4.01-4.09,OVAL
1407,K,,-35,-35,-33,-33,-30,-28,4.01-4.09,OVAL
1408,L,,,,,,,,4.01-4.09,OVAL
1409,M,,,,,,,,4.01-4.09,OVAL
1410,D,-54,-50,-49,-46,-45,-48,-47,4.01-4.09,PRINCESS
1411,E,,-50,-49,-46,-45,-48,-47,4.01-4.09,PRINCESS
1412,F,,-49,-49,-46,-45,-48,-47,4.01-4.09,PRINCESS
1413,G,,-47,-47,-45,-45,-48,-47,4.01-4.09,PRINCESS
1414,H,,-47,-47,-45,-45,-48,-47,4.01-4.09,PRINCESS
1415,I,,-47,-47,-45,-45,-48,-47,4.01-4.09,PRINCESS
1416,J,,,,,,,,4.01-4.09,PRINCESS
1417,K,,,,,,,,4.01-4.09,PRINCESS
1418,L,,,,,,,,4.01-4.09,PRINCESS
1419,M,,,,,,,,4.01-4.09,PRINCESS
1420,D,-54,-50,-49,-46,-45,-48,-47,4.01-4.09,CUSHION
1421,E,,-50,-49,-46,-45,-48,-47,4.01-4.09,CUSHION
1422,F,,-49,-49,-46,-45,-48,-47,4.01-4.09,CUSHION
1423,G,,-47,-47,-45,-45,-48,-47,4.01-4.09,CUSHION
1424,H,,-47,-47,-45,-45,-48,-47,4.01-4.09,CUSHION
1425,I,,-47,-47,-45,-45,-48,-47,4.01-4.09,CUSHION
1426,J,,,,,,,,4.01-4.09,CUSHION
1427,K,,,,,,,,4.01-4.09,CUSHION
1428,L,,,,,,,,4.01-4.09,CUSHION
1429,M,,,,,,,,4.01-4.09,CUSHION
1430,D,-38,-38,-36,-35,-33,-33,-33,4.01-4.09,MARQUISE
1431,E,,-40,-39,-37,-35,-35,-33,4.01-4.09,MARQUISE
1432,F,,-40,-38,-37,-35,-33,-34,4.01-4.09,MARQUISE
1433,G,,-40,-37,-36,-36,-34,-34,4.01-4.09,MARQUISE
1434,H,,-39,-37,-36,-34,-33,-32,4.01-4.09,MARQUISE
1435,I,,-39,-37,-36,-34,-31,-31,4.01-4.09,MARQUISE
1436,J,,,,,,,,4.01-4.09,MARQUISE
1437,K,,,,,,,,4.01-4.09,MARQUISE
1438,L,,,,,,,,4.01-4.09,MARQUISE
1439,M,,,,,,,,4.01-4.09,MARQUISE
1440,D,-46,-47,-43,-41,-38,-41,-41,4.01-4.09,EMERALD
1441,E,,-48,-43,-41,-40,-45,-49,4.01-4.09,EMERALD
1442,F,,-40,-40,-40,-38,-45,-49,4.01-4.09,EMERALD
1443,G,,-40,-40,-40,-38,-43,-47,4.01-4.09,EMERALD
1444,H,,-41,-40,-38,-38,-43,-48,4.01-4.09,EMERALD
1445,I,,-41,-40,-39,-39,-42,-48,4.01-4.09,EMERALD
1446,J,,,,,,,,4.01-4.09,EMERALD
1447,K,,,,,,,,4.01-4.09,EMERALD
1448,L,,,,,,,,4.01-4.09,EMERALD
1449,M,,,,,,,,4.01-4.09,EMERALD
1450,D,-38,-38,-36,-35,-33,-33,-33,4.01-4.09,LONG RADIANT
1451,E,,-40,-39,-37,-35,-35,-33,4.01-4.09,LONG RADIANT
1452,F,,-40,-38,-37,-35,-33,-34,4.01-4.09,LONG RADIANT
1453,G,,-40,-37,-36,-36,-34,-34,4.01-4.09,LONG RADIANT
1454,H,,-39,-37,-36,-34,-33,-32,4.01-4.09,LONG RADIANT
1455,I,,-39,-37,-36,-34,-31,-31,4.01-4.09,LONG RADIANT
1456,J,,-35,-35,-33,-33,-30,-28,4.01-4.09,LONG RADIANT
1457,K,,-35,-35,-33,-33,-30,-28,4.01-4.09,LONG RADIANT
1458,L,,,,,,,,4.01-4.09,LONG RADIANT
1459,M,,,,,,,,4.01-4.09,LONG RADIANT
1460,D,-39,-38,-36,-34,-34,-32,-33,5.01-5.09,PEAR
1461,E,,-36,-35,-32,-32,-28,-27,5.01-5.09,PEAR
1462,F,,-34,-34,-29,-29,-27,-27,5.01-5.09,PEAR
1463,G,,-34,-34,-30,-29,-27,-27,5.01-5.09,PEAR
1464,H,,-34,-34,-29,-29,-26,-26,5.01-5.09,PEAR
1465,I,,-35,-35,-32,-31,-30,-28,5.01-5.09,PEAR
1466,J,,-36,-36,-34,-34,-32,-31,5.01-5.09,PEAR
1467,K,,-36,-36,-34,-34,-32,-31,5.01-5.09,PEAR
1468,L,,,,,,,,5.01-5.09,PEAR
1469,M,,,,,,,,5.01-5.09,PEAR
1470,D,-38,-38,-36,-35,-33,-33,-33,5.01-5.09,OVAL
1471,E,,-40,-39,-37,-35,-35,-33,5.01-5.09,OVAL
1472,F,,-40,-38,-37,-35,-33,-34,5.01-5.09,OVAL
1473,G,,-40,-37,-36,-36,-34,-34,5.01-5.09,OVAL
1474,H,,-39,-37,-36,-34,-33,-32,5.01-5.09,OVAL
1475,I,,-39,-37,-36,-34,-31,-31,5.01-5.09,OVAL
1476,J,,-35,-35,-33,-33,-30,-28,5.01-5.09,OVAL
1477,K,,-35,-35,-33,-33,-30,-28,5.01-5.09,OVAL
1478,L,,,,,,,,5.01-5.09,OVAL
1479,M,,,,,,,,5.01-5.09,OVAL
1480,D,-54,-50,-49,-46,-45,-48,-47,5.01-5.09,PRINCESS
1481,E,,-50,-49,-46,-45,-48,-47,5.01-5.09,PRINCESS
1482,F,,-49,-49,-46,-45,-48,-47,5.01-5.09,PRINCESS
1483,G,,-47,-47,-45,-45,-48,-47,5.01-5.09,PRINCESS
1484,H,,-47,-47,-45,-45,-48,-47,5.01-5.09,PRINCESS
1485,I,,-47,-47,-45,-45,-48,-47,5.01-5.09,PRINCESS
1486,J,,,,,,,,5.01-5.09,PRINCESS
1487,K,,,,,,,,5.01-5.09,PRINCESS
1488,L,,,,,,,,5.01-5.09,PRINCESS
1489,M,,,,,,,,5.01-5.09,PRINCESS
1490,D,-54,-50,-49,-46,-45,-48,-47,5.01-5.09,CUSHION
1491,E,,-50,-49,-46,-45,-48,-47,5.01-5.09,CUSHION
1492,F,,-49,-49,-46,-45,-48,-47,5.01-5.09,CUSHION
1493,G,,-47,-47,-45,-45,-48,-47,5.01-5.09,CUSHION
1494,H,,-47,-47,-45,-45,-48,-47,5.01-5.09,CUSHION
1495,I,,-47,-47,-45,-45,-48,-47,5.01-5.09,CUSHION
1496,J,,,,,,,,5.01-5.09,CUSHION
1497,K,,,,,,,,5.01-5.09,CUSHION
1498,L,,,,,,,,5.01-5.09,CUSHION
1499,M,,,,,,,,5.01-5.09,CUSHION
1500,D,-38,-38,-36,-35,-33,-33,-33,5.01-5.09,MARQUISE
1501,E,,-40,-39,-37,-35,-35,-33,5.01-5.09,MARQUISE
1502,F,,-40,-38,-37,-35,-33,-34,5.01-5.09,MARQUISE
1503,G,,-40,-37,-36,-36,-34,-34,5.01-5.09,MARQUISE
1504,H,,-39,-37,-36,-34,-33,-32,5.01-5.09,MARQUISE
1505,I,,-39,-37,-36,-34,-31,-31,5.01-5.09,MARQUISE
1506,J,,,,,,,,5.01-5.09,MARQUISE
1507,K,,,,,,,,5.01-5.09,MARQUISE
1508,L,,,,,,,,5.01-5.09,MARQUISE
1509,M,,,,,,,,5.01-5.09,MARQUISE
1510,D,-44,-45,-41,-39,-36,-39,-39,5.01-5.09,EMERALD
1511,E,,-46,-41,-39,-38,-43,-47,5.01-5.09,EMERALD
1512,F,,-38,-38,-38,-36,-43,-47,5.01-5.09,EMERALD
1513,G,,-38,-38,-38,-36,-41,-45,5.01-5.09,EMERALD
1514,H,,-39,-38,-36,-36,-41,-46,5.01-5.09,EMERALD
1515,I,,-39,-38,-37,-37,-40,-46,5.01-5.09,EMERALD
1516,J,,,,,,,,5.01-5.09,EMERALD
1517,K,,,,,,,,5.01-5.09,EMERALD
1518,L,,,,,,,,5.01-5.09,EMERALD
1519,M,,,,,,,,5.01-5.09,EMERALD
1520,D,-38,-38,-36,-35,-33,-33,-33,5.01-5.09,LONG RADIANT
1521,E,,-40,-39,-37,-35,-35,-33,5.01-5.09,LONG RADIANT
1522,F,,-40,-38,-37,-35,-33,-34,5.01-5.09,LONG RADIANT
1523,G,,-40,-37,-36,-36,-34,-34,5.01-5.09,LONG RADIANT
1524,H,,-39,-37,-36,-34,-33,-32,5.01-5.09,LONG RADIANT
1525,I,,-39,-37,-36,-34,-31,-31,5.01-5.09,LONG RADIANT
1526,J,,-35,-35,-33,-33,-30,-28,5.01-5.09,LONG RADIANT
1527,K,,-35,-35,-33,-33,-30,-28,5.01-5.09,LONG RADIANT
1528,L,,,,,,,,5.01-5.09,LONG RADIANT
1529,M,,,,,,,,5.01-5.09,LONG RADIANT
